surface	norm	freq	text_count	pct_texts	texts	category
სახლი	სახლი	19	11	20.4	cyril-epiphany-homily|hesych-hypapante-01|mrav-dormition-2|mrav-enkenia-2|mrav-feristsvaleba|mrav-john-baptist-decollatio|mrav-kharbeba-3|mrav-lazare|mrav-shoba-athanasi|mrav-sulthmofenoba-2|mrav-timote-1	REVIEW
წმიდითა	წმიდითა	18	11	20.4	cyril-epiphany-homily|mrav-aghdgoma-kyrile|mrav-basili-2|mrav-bzoba-meletios|mrav-dormition-1|mrav-exaltation-cross|mrav-kharbeba-2|mrav-kharbeba-3|mrav-martyrs-chrysostom-2|mrav-paul-martyrdom|mrav-sulthmofenoba-2	REVIEW
გონებითა	გონებითა	18	13	24.1	mrav-aghdgoma-kyrile|mrav-amaghleba|mrav-bzoba-iohannes|mrav-chrysostom-jonah|mrav-cross-vision|mrav-epiphane-mary|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-kharbeba-1|mrav-kharbeba-2|mrav-martyrs-chrysostom-3|mrav-timote-1|mrav-toma-chrysostom	REVIEW
იცის	იცის	18	12	22.2	cyril-epiphany-homily|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-cross-vision|mrav-epiphane-mary|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-kharbeba-2|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2|mrav-toma-chrysostom|proclus-hom-theotokos	REVIEW
სიტყუად	სიტყუად	18	13	24.1	cyril-epiphany-homily|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-enkenia-1|mrav-feristsvaleba|mrav-forty-martyrs|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|mrav-toma-chrysostom|proclus-hom-theotokos	REVIEW
სახლსა	სახლსა	18	11	20.4	inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-basili-1|mrav-chrysostom-jonah|mrav-feristsvaleba|mrav-john-baptist-decollatio|mrav-kharbeba-2|mrav-lazare|mrav-sulthmofenoba-1|mrav-timote-1	REVIEW
იგივე	იგივე	18	10	18.5	cyril-epiphany-homily|hesych-hypapante-01|inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-feristsvaleba|mrav-john-baptist-decollatio|mrav-lazare|mrav-natlisgeba-1|mrav-paul-martyrdom|proclus-hom-theotokos	REVIEW
თქუენნი	თქუენნი	18	11	20.4	ephr-markhva|mrav-aghdgoma-kyrile|mrav-bzoba-iohannes|mrav-bzoba-meletios|mrav-cross-vision|mrav-exaltation-cross|mrav-lazare|mrav-sulthmofenoba-1|mrav-sulthmofenoba-2|mrav-timote-1|mrav-toma-chrysostom	REVIEW
ერისა	ერისა	18	13	24.1	cyril-epiphany-homily|hesych-hypapante-01|inventio-stephani-lucian|mart-iaqob-up-dzma|mart-stepane|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-dormition-1|mrav-forty-martyrs|mrav-kharbeba-2|mrav-lazare|mrav-paul-martyrdom|mrav-sinai-fathers-amonios	REVIEW
ღმრთისაჲთა	ღმრთისაითა	18	10	18.5	mrav-basili-2|mrav-bzoba-severian|mrav-departed-ephrem|mrav-enkenia-2|mrav-epiphane-mary|mrav-lazare|mrav-nails-inventio|mrav-paul-martyrdom|mrav-peter-martyrdom|mrav-shoba-athanasi	REVIEW
ორნი	ორნი	18	8	14.8	hesych-hypapante-01|inventio-stephani-lucian|mrav-bzoba-severian|mrav-cross-vision|mrav-ioane-zosime|mrav-paul-martyrdom|mrav-sinai-fathers-amonios|mrav-toma-chrysostom	REVIEW
წმიდაო	წმიდაო	18	2	3.7	mrav-dormition-1|mrav-dormition-2	REVIEW
