xml_id	lemma	definition	source_siglum	source_id	cross_refs
lex.zghvis_qali	ზღჳს-ქალი	სირენ	ი. ა.	abuladze1973	ქალი
lex.zghviskideli	ზღჳსკიდელი	ზღვისპირელი	ი. ა.	abuladze1973	კიდე|კიდეჲ|კიდელი|ზღუად კერძო|ზღჳთ კერძო
lex.zet_zet_zeit	ზჱთ, ზეთ, ზეჲთ	ზევით, ზევიდან	ი. ა.	abuladze1973	ზეჲთ
lex.zetgan	ზჱთგან	ზენაჲთგან, ზემოდან	ი. ა.	abuladze1973	ზე
lex.zvineuli	ზჳნეული	ზჳნი	ი. ა.	abuladze1973	ზჳნი
lex.zvini	ზჳნი	ზვინი, გროვა; ხუავი, ზჳნეული	ი. ა.	abuladze1973	დაზჳნვა|დაძჳნვა|ზჳნეული
lex.tagu	თაგუ	თაგვი	ი. ა.	abuladze1973	
lex.tagu_qurtsini	თაგუ-ქურცინი	(mus araneus, sive mustela) ვრცინი და თაგჳ	ი. ა.	abuladze1973	ქურცინი
lex.tav_motne	თავ(ის)-მოთნე	თავის მოიმედე, ამაყი, ზვიადი, თავმომწონე	ი. ა.	abuladze1973	მოთნება|მოთნე|თნევა|თნება|თავმოთნე
lex.tav_qopa	თავ(ის)-ყოფა	პატივის-ცემა; განდიდება, პატივი; შეკრება	ი. ა.	abuladze1973	ყოფა
lex.tav_dgma	თავ-დგმა	დამთავრება	ი. ა.	abuladze1973	
lex.tav_qopa_2	თავ-ყოფა	დაფასება, პატივისცემა	ი. ი.	imnaishvili	
lex.tav_qopili	თავ-ყოფილი	მორჩილი	ი. ა.	abuladze1973	ყოფა
lex.tavad_tavad	თავად-თავად	პირამდე	ი. ა.	abuladze1973	
lex.tavad_tavadi	თავად-თავადი	თავის/სულის მიხედვით, თითოეული	ი. ა.	abuladze1973	თავი|თავი თჳსი
lex.tavadi	თავადი	თჳთ, თვითონ. თავი, მეთაური	ი. ა.	abuladze1973	უთავადესი
lex.tavadobai	თავადობაჲ	გამგებლობა	ა. შ.	shanidze1971	
lex.tavaghebuli	თავაღებული	თავამართული	ი. ა.	abuladze1973	აღ(ღ)ებული|აღებული
lex.tavgatsirva	თავგა(ნ)წირვა	თავგამეტება, თავგადადება	ი. ა.	abuladze1973	წირვა
lex.tavdaburvili	თავდაბურვილი	თავდახურული	ი. ა.	abuladze1973	ბურვა|დაბურვა
lex.tavdadebuli	თავდადებული	თავმდაბალი, მშვიდი	ი. ა.	abuladze1973	დადება|დადებული|დება
lex.tavdadrekili	თავდადრეკილი	თავდახრილი	ი. ა.	abuladze1973	დადრეკა
lex.tavdamoqtsevit	თავდამოქცევით		ი. ა.	abuladze1973	ქცეულად
lex.tavdauburvelad	თავდაუბურველად	თავდაუხურავად, თავღიად	ი. ა.	abuladze1973	ბურვა
lex.tavdaqtsevit	თავდაქცევით	თავდაღმა	ი. ა.	abuladze1973	ქცეულად
lex.tavdgmulebai	თავდგმულებაჲ	დაგვირგვინება, დაბოლოვება, დასასრული	სხ.	misc	
lex.taveba	თავება	უთავა: სათავეში დააყენა	ქ. ც.	kartlis_tskhovreba	
lex.tavi	თავი	თხემი, მწვერვალი; კუთხის ქვა; მთავარი, მთავრობა, მეთაური; თავადი	ი. ა.	abuladze1973	ათეულისა მოღება|ათასის-თავი|ასის-თავი|ასომთავარი|ავაზაკთ-მთავარი
lex.tavi_tqueni	თავი თქუენი	თქვენი, თავის-თავი	ი. ა.	abuladze1973	
lex.tavi_tvisi	თავი თჳსი	სული თჳსი, გული თჳსი; გული, გონება, სული	ი. ა.	abuladze1973	თავად-თავადი
lex.tavi_khuvilisa	თავი ჴუვილისა	თაველი, თავთავი, ჴუვილი	ი. ა.	abuladze1973	
lex.tavieti	თავიეთი	თავიანთი	ი. ა.	abuladze1973	თავი
lex.tavit	თავით	თავისაკენ, სასთუმლით	ი. ა.	abuladze1973	
lex.tavit_tvisit	თავით თჳსით	თჳსით თავით, თავად	ი. ა.	abuladze1973	თჳსი
lex.tavit_kerdzo	თავით-კერძო	პირით-კერძო. წინა მხარე	ი. ა.	abuladze1973	კერძო|მიერ კერძო
lex.tavis_garemoisi	თავის-გარემოჲსი	(ὁ περικεφαλαία) მუზარადი	სხ.	misc	
lex.tavis_tav	თავის-თავ	ცალკე	ი. ა.	abuladze1973	თავი
lex.tavis_kueta	თავის-კუეთა	თავის მოჭრა, თავის მოკვეთა	ი. ი.	imnaishvili	
lex.tavis_moquare	თავის-მოყუარე	თავმოყვარე	ი. ა.	abuladze1973	მოყუარე|ყუარება|ყუარობა
lex.tavis_mqopeli	თავის-მყოფელი	პატივის ან სიყვარულის მწყალობელი; მდაბალი. სიყვარულის	ი. ა.	abuladze1973	ყოფა|მყოფელი
lex.tavis_satso	თავის-საცო	ბალიში	სხ.	misc	
lex.tavis_sakhueveli	თავის-სახუეველი	თავსაკრი	ი. ა.	abuladze1973	სახუეველი|ხუევა
lex.tavisi	თავისი	თვისი, მისი	ი. ა.	abuladze1973	თავი
lex.tavisupal_qmnaqopa	თავისუფალ ქმნა/ყოფა	განთავისუფლება	ი. ა.	abuladze1973	განმათავისუფლებელი|განთავისუფლება|უფალი
lex.tavisupali	თავისუფალი	განთავისუფლებული; აზნაური, კეთილშობილი	ი. ა.	abuladze1973	უფალი
lex.tavisuplebatavisuploba	თავისუფლება/თავისუფლობა	განთავისუფლება	ი. ა.	abuladze1973	გამოთავისუფლება|განთავისუფლებული
lex.tavistsinaoba	თავისწინაობა	მარტოკა ყოფნა	ქ. ც.	kartlis_tskhovreba	
lex.tavmdebi	თავმდები	საწინააღმდ. მტერი	ქ. ც.	kartlis_tskhovreba	
lex.tavmdeboba	თავმდებობა	თავდებობა	ქ. ც.	kartlis_tskhovreba	
lex.tavmodrekili	თავმოდრეკილი	თავდახრილი			მოდრეკილი|მოდრეკა|დრეკა
lex.tavmotne	თავმოთნე		ი. ა.	abuladze1973	თავ(ის)-მოთნე
lex.tavmotneba_tavsmotneba	თავმოთნება, თავსმოთნება	თავმოწონება; თავისნება	ი. ა.	abuladze1973	თნევა|თნება|თავს-მოთნება|მოთნება
lex.tavmotneoba	თავმოთნეობა	თავმოყვარეობა	ი. ი.	imnaishvili	
lex.tavmdzghuari	თავმძღუარი	მხედართ-მთავარი	ი. ა.	abuladze1973	მძღუარი|ძღუანვა
lex.tavni	თავნი	ძირითადი, მთავარი	სხ.	misc	
lex.tavoba_taoba	თავობა, თაობა	დასაწყისი	ი. ა.	abuladze1973	თავი|თაობა|თთჳს-თავობა|მჴნისთაობა
lex.tavovani	თავოვანი		ი. ა.	abuladze1973	თავი|კაცის-თავოვანი
lex.tavs_deba	თავს-დება	ტვირთვა, თავს-მდებობა	ი. ა.	abuladze1973	დება|მითავსება|ტჳრთვა
lex.tavs_mdeb_qmna	თავს-მდებ ქმნა	თავ(ს)-დება	ი. ა.	abuladze1973	დება
lex.tavs_mdebeba_tavs_mdeboba	თავს-მდებება, თავს-მდებობა	თავდებობა	ი. ა.	abuladze1973	დება|მდებება|მდებობა
lex.tavs_mdebeli	თავს-მდებელი	მომთმენი, ამტანი	ი. ა.	abuladze1973	დება|მდებელი
lex.tavs_mdebi	თავს-მდები	თავდები	ი. ა.	abuladze1973	
lex.tavs_motneba	თავს-მოთნება		ი. ა.	abuladze1973	თავმოთნება|თავსმოთნება
lex.tavs_skhma	თავს-სხმა	ტვირთვა, აკიდება, დათმენა	ი. ა.	abuladze1973	სხმა
lex.tavseba	თავსება		ი. ა.	abuladze1973	მითავსება
lex.tavsnieri	თავსნიერი	შესაწირავი, საღვთო. რიცხვი, ანგარიში	ი. ა.	abuladze1973	
lex.tavqedeani_tavqediani	თავქედეანი, თავქედიანი	გიჟი, შეშლილი	ი. ა.	abuladze1973	თავქედი
lex.tavqedi	თავქედი	სიგიჟე, სიცოფე	ი. ა.	abuladze1973	თავქედეანი|თავქედიანი
lex.tavqanis_tsema_tavquanis_tsema_taquanis_tsema	თავყანის-ცემა, თავყუანის-ცემა, თაყუანის-ცემა	ლოცვა, მსახურება.	ი. ა.	abuladze1973	თაყუანის-ცემა|თავყუანის-ცემა|თავყანის-ცემა|ცემა თავსა თჳსსა|ცემა
lex.tavtsarskhmuli	თავწარსხმული	თაველი, თავთავი	ი. ა.	abuladze1973	წარსხმული|სხმა
lex.tavtsqaro	თავწყარო	ჯურღმული წყლისა, წყლის სათავე	ი. ა.	abuladze1973	წყარო
lex.tavkhedad	თავჴედად	კადნიერად	ი. ა.	abuladze1973	
lex.tavkhedebai	თავჴედებაჲ	თავხედობა	ი. ი.	imnaishvili	
lex.tavkhedi	თავჴედი	ფიცხელი, კადნიერი, თავგასული	ი. ა.	abuladze1973	
lex.tavkhedoba	თავჴედობა	თავგასულობა, კადნიერება	ი. ა.	abuladze1973	
lex.talari	თალარი	სვეტებიანი კარავი	ქ. ც.	kartlis_tskhovreba	
lex.talia	თალია	ძაძა, ტომარი	ი. ა.	abuladze1973	
lex.tamachi	თამაჩი	მონღოლთა მიერ დასავლეთში სალაშქროდ გაგზავნილი მეომრები	ქ. ც.	kartlis_tskhovreba	
lex.tan	თან	ქართული ანბნის მე-9 ასო, რიცხვითი მნიშვნელობა 9	ი. ა.	abuladze1973	
lex.tana	თანა	თან; ოდენ, -ის დროს	ი. ა.	abuladze1973	თჳსთანა|თანაჲს-თანა|სათანადო|შენთანა|ჩემთანა
lex.tana_tanad	თანა, თანად	ერთად, თან, ურთ	ი. ა.	abuladze1973	
lex.tana_arsi	თანა-არსი	მასთან არსებული	ი. ი.	imnaishvili	
lex.tana_arsoba	თანა-არსობა	მარადიულობა	ი. ა.	abuladze1973	არსება|არსობა
lex.tana_aghzrdili	თანა-აღზრდილი	ერთად გაზრდილი	ი. ა.	abuladze1973	აღზრდილი
lex.tana_aghratskhili	თანა-აღრაცხილი	თანა-აღრაცხილ ყვნა დასსა მოწაფეთასა: ჩარიცხა	ი. ი.	imnaishvili	
lex.tana_aghreva	თანა-აღრევა	აღრევა, შერევა	ი. ა.	abuladze1973	აღრევა
lex.tana_aghkhilva	თანა-აღხილვა	აღრაცხა	ი. ა.	abuladze1973	აღხილვა|ახილვა|ხილვა
lex.tana_ats	თანა-აც		ი. ა.	abuladze1973	თანა-დება
